Institution,State,Historically_Black,Predominantly_Black,Alask_Nat_Nat_Hawaiian_Serving,Tribal,Asian_American_Pacific_Islander_Serving,Hispanic_Serving,Native_American_Nontribal,Men_only,Women_only,Acceptance_rate,Average_SAT,Average_Cost_Of_Attendance,Avg_Net_Price_Pub_0_To_30000_Income,Avg_Net_Price_Pub_30000_To_48000_Income,Avg_Net_Price_Pub_48001_To_75000_Income,Avg_Net_Price_Pub_75001_To_110000_Income,Avg_Net_Price_Pub_110001_To_Inf_Income,Avg_Net_Price_Priv_0_To_30000_Income,Avg_Net_Price_Priv_30000_To_48000_Income,Avg_Net_Price_Priv_48001_To_75000_Income,Avg_Net_Price_Priv_75001_To_110000_Income,Avg_Net_Price_Priv_110001_To_Inf_Income,Perc_Undergrad_White,Perc_Undergrad_Black,Perc_Undergrad_Hispanic,Perc_Undergrad_Asian,Perc_Undergrad_Am_Indian_Alask_Native,Perc_Native_Hawaiin_Pac_Islander,Perc_Two_Or_More_Races,Perc_Receiving_Loan,Med_Loan_Debt,Inst_Loan_Debt,Socioeconomic_Div,White_Compl_Rate,Black_Compl_Rate,Hisp_Compl_Rate,Asian_Compl_Rate,Asian_Am_Pac_Islander_Compl_Rate,Native_Am_Pac_Islander_Compl_Rate,Two_Or_More_Races_Compl_Rate,Mean_earnings_After_6_Years,Mean_earnings_After_7_Years,Mean_earnings_After_8_Years,Mean_earnings_After_9_Years,Mean_earnings_After_10_Years,Pop,Avg_Mean_earning
Southwest Minnesota State University,MN,0,0,0,0,0,0,0,0,0,0.9159,1050,21596,9370,11354,12523,16188,18753,NA,NA,NA,NA,NA,0.7019,0.0849,0.0762,0.0251,0.0036,0.001,0.0322,0.1548,14250,11914,0.3426,0.5116,0.1395,0.1818,0.25,0.5,0,0.4,34900,34500,37200,36100,41400,1956,36820
Dunwoody College of Technology,MN,0,0,0,0,0,0,0,0,0,0.9804,1020,32508,NA,NA,NA,NA,NA,19129,20621,23683,26983,30261,0.6943,0.0681,0.0511,0.0637,0.0059,0.0037,0.0474,0.8003,12000,20000,0.3268,0.5302,0.0909,0.619,0.3,0,0,0,40700,42000,47600,45400,53600,1351,45860
Alcorn State University,MS,1,0,0,0,0,0,0,0,0,0.2993,1019,24062,14335,14757,16419,13160,14894,NA,NA,NA,NA,NA,0.0209,0.9505,0.0094,4e-4,0.0034,0.006,0,0.6985,17021,12000,0.7341,0.1667,0.4736,0,1,0,0,0.8333,26900,28800,31900,33000,35000,2344,31120
University of Mississippi,MS,0,0,0,0,0,0,0,0,0,0.9738,1199,26788,8933,9205,15436,18808,20648,NA,NA,NA,NA,NA,0.7835,0.10780000000000001,0.0491,0.0202,0.0033,8e-4,0.0249,0.3384,15250,28793,0.2423,0.7072,0.4862,0.6346,0.7414,0.7143,0,0.5632,41300,43800,50500,50300,56600,17157,48500
Mississippi Valley State University,MS,1,0,0,0,0,0,0,0,0,0.6478,870,21606,9724,10136,14172,16611,21606,NA,NA,NA,NA,NA,0.0205,0.9136,0.0137,0.0026,0.0017,0.0043,0.0051,0.5887,19203,8106,0.6829,0.2727,0.2523,0.3333,0.5,1,0,0.25,22500,23700,25600,25600,27200,1169,24920
Mississippi State University,MS,0,0,0,0,0,0,0,0,0,0.7519,1215,26353,13255,13153,16979,19342,20795,NA,NA,NA,NA,NA,0.7435,0.1538,0.0386,0.016,0.0052,5e-4,0.0258,0.4036,16324,19562,0.2993,0.7016,0.4395,0.5741,0.6042,0.381,0.75,0.5538,37100,40200,43200,44700,47400,18154,42520
Avila University,MO,0,0,0,0,0,0,0,0,0,0.6763,1090,31540,NA,NA,NA,NA,NA,11320,12777,16468,19634,20820,0.4664,0.2711,0.174,0.0181,0.0107,0.0053,0.0299,0.8633,19230,17237,0.5068,0.5968,0.4615,0.3636,0,0,0,0.2857,39900,40700,41300,43200,49700,937,42960
University of Central Missouri,MO,0,0,0,0,0,0,0,0,0,0.7134,1090,21179,11376,12256,15021,17494,17660,NA,NA,NA,NA,NA,0.7728,0.0818,0.066,0.0115,0.0035,0.0015,0.0444,0.385,15750,12616,0.3164,0.5615,0.3869,0.3731,0.7,0.5,0,0.4353,35100,35200,38800,38900,42600,5920,38120
Drury University,MO,0,0,0,0,0,0,0,0,0,0.6343,1221,45553,NA,NA,NA,NA,NA,13749,15885,18464,21175,25330,0.7516,0.0292,0.0197,0.0256,0.0161,0.0051,0.0263,0.5279,13000,24643,0.2881,0.6465,0.6154,0.625,0.4,0.6667,0,0.5294,30400,31100,32600,35900,36200,1369,33240
Lindenwood University,MO,0,0,0,0,0,0,0,0,0,0.7402,1177,32719,NA,NA,NA,NA,NA,12778,12881,14630,18854,19029,0.6317,0.1379,0.0478,0.0182,0.0041,0.0069,0.0264,0.6287,20500,18235,0.2929,0.6034,0.2533,0.3889,1,0.75,0.6364,0.375,37900,37500,43600,42300,47000,4627,41660
Missouri Southern State University,MO,0,0,0,0,0,0,0,0,0,0.9948,1089,16972,8601,8687,9705,12868,12918,NA,NA,NA,NA,NA,0.682,0.0659,0.0878,0.029,0.0502,0.0062,0.0213,0.3741,11650,5689,0.4534,0.3773,0.23,0.3492,0.7,0.3158,0,0.1538,31300,30900,34200,34500,38100,3245,33800
Missouri Valley College,MO,0,0,0,0,0,0,0,0,0,0.61240000000000006,1000,35869,NA,NA,NA,NA,NA,17526,17212,19069,20314,20702,0.3388,0.1363,0.0977,0.0142,0.0047,0.015,0.0433,0.4262,10250,11000,0.371,0.2893,0.1429,0.2222,0.3333,0,0,0.1579,29700,30900,33300,35800,38100,1269,33560
University of Missouri-Columbia,MO,0,0,0,0,0,0,0,0,0,0.7913,1249,28417,15519,15601,16988,20921,24594,NA,NA,NA,NA,NA,0.7949,0.0547,0.0554,0.0278,0.0014,0.0012,0.0456,0.3288,16500,29712,0.214,0.7657,0.6529,0.6667,0.7455,0.6923,0.5,0.7288,42700,43200,49600,50900,56600,23206,48600
University of Missouri-Kansas City,MO,0,0,0,0,0,0,0,0,0,0.6948,1231,23450,10194,11472,12864,17539,18880,NA,NA,NA,NA,NA,0.5002,0.1334,0.1406,0.1076,0.0035,0.0012,0.0523,0.2537,14835,16504,0.3802,0.5408,0.4021,0.4955,0.8077,0,1,0.566,44400,44000,50000,51800,57200,6479,49480
Truman State University,MO,0,0,0,0,0,0,0,0,0,0.4505,1246,22335,8899,8210,12554,14331,16661,NA,NA,NA,NA,NA,0.7832,0.0243,0.0315,0.025,0.0024,7e-4,0.0332,0.3044,16679,11269,0.1884,0.7318,0.6154,0.7586,0.7692,0.8889,0.5,0.5294,36000,38500,45600,45700,50500,2920,43260
Northwest Missouri State University,MO,0,0,0,0,0,0,0,0,0,0.8556,1089,21375,10949,10824,12077,15843,17895,NA,NA,NA,NA,NA,0.8224,0.0447,0.0492,0.0071,0.003,0.0013,0.0355,0.4714,14927,14034,0.3164,0.5626,0.2674,0.3529,0.8,0.5,0.5,0.4576,34000,36000,37700,41400,43700,4679,38560
College of the Ozarks,MO,0,0,0,0,0,0,0,0,0,0.2113,1124,31353,NA,NA,NA,NA,NA,6275,6272,8774,9894,10575,0.8582,0.0122,0.0452,0.0128,0.0074,7e-4,0.0331,0,NA,PS,0.4802,0.6225,0.4,0.7,1,1,0,0.5385,28800,30600,33100,33200,35300,1481,32200
Southwest Baptist University,MO,0,0,0,0,0,0,0,0,0,0.9955,1081,36941,NA,NA,NA,NA,NA,21402,15621,15928,20304,19692,0.7471,0.0515,0.0373,0.0108,0.0068,0.002,0.0285,0.4722,14000,11000,0.4588,0.4899,0.1389,0.1667,1,0.5,0,0.1667,31000,31700,37600,36300,37400,1475,34800
Missouri State University-Springfield,MO,0,0,0,0,0,0,0,0,0,0.9256,1147,23168,14366,13413,15819,18730,19431,NA,NA,NA,NA,NA,0.7944,0.0347,0.049,0.0195,0.0032,0.0013,0.0377,0.3324,16200,13000,0.2969,0.6055,0.3774,0.512,0.6154,0.3333,0,0.4286,34300,35000,40700,39800,44500,13332,38860
Montana State University,MT,0,0,0,0,0,0,0,0,0,0.7333,1158,22506,16219,16994,19453,22153,22506,NA,NA,NA,NA,NA,0.8437,0.004,0.0566,0.0113,0.0128,8e-4,0.0537,0.3246,13748,21249,0.1854,0.5859,0.2857,0.4884,0.5172,0.3333,0,0.4593,38000,37300,43300,42300,48900,14343,41960
The University of Montana,MT,0,0,0,0,0,0,0,0,0,0.9538,NA,21814,12954,14021,15107,17134,18787,NA,NA,NA,NA,NA,0.7489,0.0086,0.067,0.0138,0.0385,9e-4,0.0845,0.4274,15000,16899,0.3109,0.4907,0.3684,0.3636,0.2727,0.2273,0.6667,0.3448,33900,34000,38700,38200,43300,6937,37620
The University of Montana-Western,MT,0,0,0,0,0,0,0,0,0,0.3631,NA,18668,10314,11718,15529,18632,18168,NA,NA,NA,NA,NA,0.7912,0.0116,0.0391,0.0025,0.0699,0.0058,0.0383,0.3381,12000,9656,0.3609,0.4819,0,0.381,0.5,0.1818,0,0.3333,29300,27600,33700,33300,36700,1202,32120
Creighton University,NE,0,0,0,0,0,0,0,0,0,0.7569,1344,59663,NA,NA,NA,NA,NA,24742,22651,27428,31147,36458,0.7022,0.0239,0.096,0.0814,0.0026,0.0016,0.0624,0.4695,21500,39968,0.0689,0.8185,0.75,0.5833,0.7802,1,0.3333,0.7273,50900,57400,57600,65900,70100,4261,60380
University of Nebraska at Omaha,NE,0,0,0,0,0,0,0,0,0,0.8586,1120,19830,10031,10528,12312,15729,17541,NA,NA,NA,NA,NA,0.614,0.0759,0.1692,0.0499,0.0031,0.0012,0.0457,0.2659,12750,13335,0.3159,0.5089,0.3307,0.4326,0.6522,0.25,0.3333,0.3663,38600,39400,44000,44400,49300,11866,43140
University of Nebraska-Lincoln,NE,0,0,0,0,0,0,0,0,0,0.7864,1192,24612,11585,11812,14504,18692,21192,NA,NA,NA,NA,NA,0.7598,0.0289,0.0888,0.0379,0.0019,7e-4,0.0355,0.3302,14750,20914,0.2241,0.6667,0.4521,0.54,0.6271,0.6,0.6667,0.5885,39900,39900,45500,46800,52700,19097,44960
University of Nevada-Las Vegas,NV,0,0,0,0,1,1,0,0,0,0.8531,1092,19984,10473,10280,11712,15386,16858,NA,NA,NA,NA,NA,0.2419,0.0915,0.3434,0.1596,0.0026,0.0085,0.1313,0.2718,12500,19380,0.4094,0.4808,0.3272,0.441,0.5921,0.3333,0.25,0.4279,39300,40600,45700,47100,49600,24329,44460
University of Nevada-Reno,NV,0,0,0,0,0,0,0,0,0,0.8562,NA,23859,11957,12834,14911,19074,20579,NA,NA,NA,NA,NA,0.5187,0.0339,0.2415,0.0833,0.006,0.0042,0.0886,0.2647,13000,22870,0.2718,0.6268,0.5966,0.5823,0.7108,0.6154,0.4706,0.6102,41600,43500,48600,48800,56300,15896,47760
Dartmouth College,NH,0,0,0,0,0,0,0,0,0,0.0638,1539,81501,NA,NA,NA,NA,NA,2438,4073,5903,17440,55770,0.4751,0.0603,0.0972,0.136,0.0113,0,0.068,0.1732,15157,58166,0.1604,0.9618,0.9,0.9915,0.9878,0.56,1,0.8833,74600,79400,94000,91300,110200,4412,89900
New England College,NH,0,0,0,0,0,0,0,0,0,0.9994,NA,59050,NA,NA,NA,NA,NA,24438,29552,29232,31966,32395,0.4672,0.1245,0.1004,0.0116,0.0039,0.001,0.0309,0.6792,15603,24217,0.4417,0.3672,0.1648,0.2222,0.6667,1,0,0.1429,31700,33500,36500,36100,44700,1036,36500
Southern New Hampshire University,NH,0,0,0,0,0,0,0,0,0,0.9637,NA,36121,NA,NA,NA,NA,NA,31967,31699,33040,34926,35345,0.5106,0.1596,0.1293,0.0203,0.0057,0.0037,0.033,0.6059,9169,20000,0.4652,0.4437,0.3274,0.3077,0.5667,0.6,0.2,0.25,43300,39600,47100,45600,50200,138138,45160
Keene State College,NH,0,0,0,0,0,0,0,0,0,0.8953,NA,28794,13113,12800,16047,19242,22914,NA,NA,NA,NA,NA,0.8372,0.0164,0.0532,0.013,0.0033,0.0011,0.0331,0.6954,19500,26310,0.2547,0.6031,0.3077,0.5,0.6667,0,1,0.3158,36100,36100,41100,40800,45800,2690,39980
Plymouth State University,NH,0,0,0,0,0,0,0,0,0,0.9755,NA,28721,15222,16881,19526,21654,23604,NA,NA,NA,NA,NA,0.811,0.0195,0.0472,0.0131,0.0024,0,0.0292,0.7169,17000,19999,0.2854,0.5158,0.3421,0.4,0.8182,0.5556,0,0.6818,35100,34300,41100,39200,45600,3286,39060
Felician University,NJ,0,0,0,0,0,1,0,0,0,0.8915,1037,48466,NA,NA,NA,NA,NA,10762,10137,14101,23634,25575,0.2429,0.1993,0.4051,0.0578,0.0024,0.0018,0.0212,0.5618,19250,18644,0.5297,0.6056,0.4286,0.4623,0.7143,0.6667,1,0,47800,42300,50500,44800,52800,1696,47640
Rowan University,NJ,0,0,0,0,0,0,0,0,0,0.7694,1197,32251,14013,14385,20768,26072,27448,NA,NA,NA,NA,NA,0.6397,0.1077,0.1324,0.0586,0.0011,9e-4,0.0373,0.4538,16750,24194,0.3177,0.7269,0.4784,0.6023,0.7458,0.5,1,0.6104,39800,44300,49000,48600,55400,14914,47420
New Jersey City University,NJ,0,0,0,0,0,1,0,0,0,0.9014,NA,30154,17653,17282,19246,22662,23693,NA,NA,NA,NA,NA,0.1661,0.2097,0.4631,0.0793,0.0032,0.003,0.028,0.4149,14250,10130,0.5375,0.4286,0.3225,0.3492,0.575,0.2,0.6,0.5652,37200,39600,41200,43000,46000,4677,41400
Kean University,NJ,0,0,0,0,0,1,0,0,0,0.826,1016,24102,4929,5301,10478,17203,20274,NA,NA,NA,NA,NA,0.2655,0.2053,0.3575,0.052,9e-4,0.0014,0.0241,0.4822,17199,18579,0.4867,0.6079,0.4262,0.4898,0.6098,0.5,0,0.4808,38000,40500,43400,46300,48400,10524,43320
Montclair State University,NJ,0,0,0,0,0,1,0,0,0,0.9131,1080,26041,10917,11146,16381,21660,24204,NA,NA,NA,NA,NA,0.3702,0.132,0.3596,0.0679,0.0014,0.0012,0.0266,0.4409,17500,21025,0.4503,0.6979,0.5892,0.616,0.6344,0.5,0.5,0.7067,38200,41900,45800,48900,52400,16902,45440
Princeton University,NJ,0,0,0,0,0,0,0,0,0,0.057,1546,78490,NA,NA,NA,NA,NA,2841,2370,6943,13557,36082,0.3756,0.0798,0.1002,0.235,0.0013,0.0011,0.0682,0.0252,10000,45000,0.1973,0.9684,0.9901,0.9672,0.9777,1,1,0.9706,73600,89600,92400,98600,116300,5527,94100
Rutgers University-Camden,NJ,0,0,0,0,1,0,0,0,0,0.7652,1168,29550,12529,11881,14341,20761,25858,NA,NA,NA,NA,NA,0.387,0.1935,0.2178,0.1241,0.0017,0.0017,0.037,0.5412,19000,23669,0.4919,0.701,0.5321,0.5447,0.7945,1,1,0.6176,48200,52800,58000,58700,68100,4077,57160
Rutgers University-New Brunswick,NJ,0,0,0,0,0,0,0,0,0,0.6629,1374,31851,14026,14893,19950,27099,30640,NA,NA,NA,NA,NA,0.3236,0.0683,0.1511,0.3257,8e-4,9e-4,0.0359,0.4033,19000,23669,0.2835,0.8495,0.8,0.7442,0.8949,0.5,0.8,0.8079,48200,52800,58000,58700,68100,36090,57160
Rutgers University-Newark,NJ,0,0,0,0,1,1,0,0,0,0.7394,NA,28522,11687,14208,18266,24584,25515,NA,NA,NA,NA,NA,0.2076,0.195,0.3525,0.1803,0.001,0.0015,0.0249,0.3435,19000,23669,0.5823,0.7233,0.5935,0.6066,0.7055,0,0.3333,0.6829,48200,52800,58000,58700,68100,7188,57160
Stockton University,NJ,0,0,0,0,0,0,0,0,0,0.8554,1150,30214,11870,11789,14352,23842,25497,NA,NA,NA,NA,NA,0.5847,0.1031,0.1868,0.0738,0.0011,6e-4,0.0363,0.5301,16380,18864,0.4052,0.7797,0.7077,0.6951,0.7901,0.3333,1,0.6944,37300,42600,42400,46800,50700,8105,43960
William Paterson University of New Jersey,NJ,0,0,0,0,0,1,0,0,0,0.9153,1150,23631,8536,9918,14951,21604,23048,NA,NA,NA,NA,NA,0.3323,0.1913,0.3388,0.0775,5e-4,0.0012,0.0255,0.475,15750,16957,0.4673,0.6305,0.463,0.514,0.6283,1,1,0.5484,37300,39100,42600,45200,49100,6591,42660
Eastern New Mexico University-Main Campus,NM,0,0,0,0,0,1,0,0,0,0.2755,961,17929,5712,6544,8929,9300,13940,NA,NA,NA,NA,NA,0.3663,0.0535,0.4505,0.0131,0.0186,0.0038,0.0321,0.2212,11000,9658,0.4077,0.4516,0.2549,0.3891,0.5,0.5385,0.3333,0.375,29200,28400,32600,31700,34800,2899,31340
University of New Mexico-Main Campus,NM,0,0,0,0,0,1,0,0,0,0.9607,1090,19556,12582,14057,16371,17773,18620,NA,NA,NA,NA,NA,0.2854,0.0307,0.5065,0.0421,0.0621,0.0015,0.04,0.4714,13698,9000,0.3807,0.5626,0.4217,0.4954,0.6972,0.292,0.8571,0.4769,32600,35700,39000,39800,43900,15642,38200
American Musical and Dramatic Academy,NY,0,0,0,0,0,0,0,0,0,0.2585,NA,62078,NA,NA,NA,NA,NA,35620,38246,49756,50856,58490,0.3283,0.1672,0.1944,0.017,0.0014,0.0027,0.0666,0.6836,12000,69120,0.3635,0.6949,0.7037,0.6923,0.8333,0.5,0.3333,0.6327,23300,26400,27900,29700,34500,1471,28360
Canisius College,NY,0,0,0,0,0,0,0,0,0,0.7773,1200,40718,NA,NA,NA,NA,NA,13343,14718,18060,21339,22763,0.6823,0.1086,0.0623,0.0337,0.0023,0,0.0286,0.5632,19000,21302,0.2966,0.7026,0.4464,0.6047,0.5882,0.3333,0.5,0.5,37900,40500,44700,47800,51100,1750,44400
Columbia University in the City of New York,NY,0,0,0,0,0,0,0,0,0,0.0395,1540,82617,NA,NA,NA,NA,NA,6184,4569,8385,15114,45873,0.3162,0.0745,0.1541,0.1843,0.003,0.0015,0.0641,0.1523,18750,48968,0.2216,0.9486,0.9386,0.9275,0.9763,0.8571,1,0.9457,77900,89100,95500,95500,115600,8902,94720
Cornell University,NY,0,0,0,0,0,0,0,0,0,0.0747,1527,80278,NA,NA,NA,NA,NA,4375,5017,8006,20728,48783,0.3283,0.0734,0.1474,0.2341,0.0026,0.0013,0.0549,0.2318,13000,43515,0.1771,0.9685,0.9013,0.9266,0.9768,0.7143,1,0.9308,76300,78500,86300,88900,101200,15676,86240
Culinary Institute of America,NY,0,0,0,0,0,0,0,0,0,0.9486,1110,52817,NA,NA,NA,NA,NA,25370,26835,29937,34967,34412,0.4609,0.0709,0.1943,0.0839,0.0043,0.0033,0.0496,0.5536,12000,30858,0.3031,0.7416,0.6098,0.6049,0.7407,0.25,1,0.5,37300,39700,42400,42400,46300,3005,41620
CUNY Bernard M Baruch College,NY,0,0,0,0,1,1,0,0,0,0.4953,NA,13540,1617,3353,7284,9752,12787,NA,NA,NA,NA,NA,0.178,0.0923,0.2675,0.36,0.0017,8e-4,0.0267,0.1071,10000,17645,0.5357,0.6888,0.5619,0.736,0.8116,1,0.5,0.4667,47500,50200,55000,56300,63600,15554,54520
CUNY Brooklyn College,NY,0,0,0,0,1,0,0,0,0,0.5454,NA,13586,2305,3362,7541,9431,11504,NA,NA,NA,NA,NA,0.2503,0.1931,0.2382,0.2507,0.001,9e-4,0.0343,0.0705,9218,14109,0.5814,0.5845,0.5302,0.4987,0.5888,1,0.5,0.55,36900,40400,43400,47800,48800,10785,43460
CUNY City College,NY,0,0,0,0,1,1,0,0,0,0.666,NA,13514,1963,3330,7290,9332,12552,NA,NA,NA,NA,NA,0.12,0.1533,0.39,0.2553,0.0017,0.0015,0.03,0.0618,9775,21000,0.6074,0.5424,0.6533,0.5453,0.6164,0.6667,0.2,0.5862,36800,40300,44800,46400,50900,11481,43840
CUNY Hunter College,NY,0,0,0,0,1,1,0,0,0,0.4786,NA,13345,1408,3028,7051,8965,12872,NA,NA,NA,NA,NA,0.1869,0.1082,0.3121,0.3061,0.0023,0.0015,0.035,0.0651,8812,13209,0.5463,0.5881,0.4678,0.5283,0.5934,0.6667,0.4167,0.5306,39300,40700,45600,46200,51800,16549,44720
CUNY John Jay College of Criminal Justice,NY,0,0,0,0,1,1,0,0,0,0.5066,NA,13746,2114,3628,7859,9600,13383,NA,NA,NA,NA,NA,0.1409,0.1623,0.5019,0.1255,0.0038,0.0026,0.0281,0.0736,9250,19500,0.5892,0.5305,0.5248,0.5331,0.5879,0.6,0.4444,0.4815,33800,39200,40800,47800,50000,11726,42320
CUNY Lehman College,NY,0,0,0,0,0,1,0,0,0,0.5531,NA,13565,2699,4403,8026,9766,13202,NA,NA,NA,NA,NA,0.0453,0.257,0.5779,0.0711,0.0021,0.0011,0.0161,0.1149,8500,PS,0.6182,0.5122,0.5512,0.5223,0.5833,0.25,1,0.3333,36700,39800,43100,44400,47500,10485,42300
CUNY New York City College of Technology,NY,0,0,0,0,1,1,0,0,0,0.818,NA,13725,4548,5486,8400,10153,12069,NA,NA,NA,NA,NA,0.0941,0.2595,0.3582,0.2196,0.0041,0.0019,0.0213,0.0543,7000,7000,0.5632,0.2521,0.1816,0.1878,0.274,0.1538,0.6154,0.1628,32900,35700,39500,39800,44700,12312,38520
CUNY Queens College,NY,0,0,0,0,1,1,0,0,0,0.6948,NA,13733,3126,4107,7554,10309,12228,NA,NA,NA,NA,NA,0.1951,0.0959,0.2963,0.3152,0.0047,0.0026,0.0319,0.0784,8580,10098,0.4888,0.6376,0.5072,0.4763,0.5752,0.375,0.6667,0.5909,37200,42000,45400,48700,52900,13513,45240
CUNY York College,NY,0,0,0,0,1,1,0,0,0,0.5914,NA,13749,4309,5655,8572,9727,12265,NA,NA,NA,NA,NA,0.0506,0.3735,0.2621,0.2202,0.0151,0.0044,0.0321,0.0564,7500,PS,0.5702,0.4211,0.3156,0.3188,0.3193,0.875,0.9,0.1429,33600,37100,39700,39900,45300,4822,39120
Elmira College,NY,0,0,0,0,0,0,0,0,0,0.9595,1220,49138,NA,NA,NA,NA,NA,19442,19072,20350,25433,28026,0.728,0.0431,0.0614,0.0216,0.0083,0,0.0332,0.7571,20230,28923,0.3328,0.6403,0.3636,0.4444,0.3333,0,1,0.25,36800,38900,44600,45200,48500,603,42800
Fashion Institute of Technology,NY,0,0,0,0,0,0,0,0,0,0.528,NA,29186,17848,19437,24718,26854,28956,NA,NA,NA,NA,NA,0.3895,0.0881,0.2234,0.1287,9e-4,0.0014,0.0458,0.3013,12000,27981,0.3279,0.8499,0.7921,0.7727,0.874,0,0.75,0.75,43200,43100,47800,46500,53900,7635,46900
Hobart William Smith Colleges,NY,0,0,0,0,0,0,0,0,0,0.6838,1339,78579,NA,NA,NA,NA,NA,19352,11523,19653,22959,40907,0.6634,0.0689,0.0929,0.0234,0.0013,6e-4,0.0357,0.5994,24250,45939,0.2355,0.7488,0.5333,0.6774,0.8824,1,1,0.5556,46500,44800,54900,53000,62700,1539,52380
Hofstra University,NY,0,0,0,0,0,0,0,0,0,0.6933,1285,65796,NA,NA,NA,NA,NA,28867,31427,33832,37890,36347,0.5057,0.0901,0.1621,0.1395,0.0023,3e-4,0.0403,0.4476,18518,54280,0.233,0.7121,0.5956,0.5789,0.6935,0.5,0.6,0.6136,42800,47500,51100,54300,59900,6051,51120
Houghton University,NY,0,0,0,0,0,0,0,0,0,0.77,1200,27969,NA,NA,NA,NA,NA,16492,16611,19918,21757,24886,0.7356,0.0711,0.0134,0.0201,0.004,0.0013,0.0403,0.5837,20313,24112,0.3976,0.672,0.3077,0.5,0.375,0,0,0.5556,33300,38900,38500,39200,42400,745,38460
Iona University,NY,0,0,0,0,0,1,0,0,0,0.964,1122,57113,NA,NA,NA,NA,NA,26933,27199,27379,31339,32001,0.4979,0.0976,0.2829,0.0228,0.0015,0.0027,0.0285,0.4693,19500,35832,0.3057,0.6562,0.4697,0.4667,0.5,1,1,0.4074,45900,45000,52900,53100,60900,2633,51560
LIM College,NY,0,0,0,0,0,0,0,0,0,0.8382,1067,50573,NA,NA,NA,NA,NA,34949,38873,36592,38433,41108,0.3879,0.2242,0.2112,0.0726,0.0056,0.0037,9e-4,0.6005,17500,43806,0.36870000000000003,0.4848,0.4474,0.8966,0.5556,1,1,1,42300,40700,45200,45600,48900,1075,44540
Manhattanville College,NY,0,0,0,0,0,1,0,0,0,0.8412,NA,52355,NA,NA,NA,NA,NA,16968,14249,21158,24188,26913,0.4851,0.098,0.3158,0.0212,8e-4,0.0016,0.0204,0.4747,20090,27965,0.2726,0.6133,0.5854,0.5703,1,1,1,0.5294,39500,42600,46400,46800,50700,1276,45200
Marist College,NY,0,0,0,0,0,0,0,0,0,0.6285,1288,62169,NA,NA,NA,NA,NA,24780,29650,33311,36118,41602,0.7333,0.0373,0.1341,0.0345,4e-4,6e-4,0.0333,0.5949,21500,51171,0.1603,0.8324,0.7547,0.7795,0.7297,1,0,0.6944,48200,45400,55600,54600,62600,5069,53280
Mercy College,NY,0,0,0,0,0,1,0,0,0,0.8586,1124,30568,NA,NA,NA,NA,NA,12192,13672,17474,20284,24073,0.1648,0.2494,0.465,0.0483,0.0022,0.002,0.0212,0.5164,15000,18093,0.5555,0.5309,0.4545,0.4701,0.4667,0.4,0.5,0.2727,37800,37700,42500,42200,44600,5510,40960
Molloy College,NY,0,0,0,0,0,1,0,0,0,0.7663,1202,47058,NA,NA,NA,NA,NA,24290,23069,24738,28880,31506,0.508,0.1004,0.2466,0.0904,0.0028,0.0025,0.0249,0.6215,24250,33174,0.2999,0.7337,0.4423,0.6531,0.7647,0.3333,1,0.7857,55400,56200,60900,59800,64100,3207,59280
Mount Saint Mary College,NY,0,0,0,0,0,1,0,0,0,0.8829,1130,48858,NA,NA,NA,NA,NA,15427,15622,23148,26164,27551,0.5246,0.088,0.2599,0.0273,7e-4,0,0.0211,0.6983,22250,39672,0.3038,0.6388,0.3548,0.5846,0.8333,0,0,0.8333,42900,44100,47900,48700,51700,1466,47060
The New School,NY,0,0,0,0,0,0,0,0,0,0.5718,NA,75533,NA,NA,NA,NA,NA,42659,43329,46039,50804,55183,0.3339,0.0376,0.1037,0.1121,8e-4,0.0011,0.0509,0.2684,15498,54216,0.1623,0.6312,0.5263,0.6029,0.7564,1,0.6667,0.5217,41300,43300,48800,44100,55200,7136,46540
New York University,NY,0,0,0,0,0,0,0,0,0,0.1246,1527,76563,NA,NA,NA,NA,NA,15298,11334,16039,36323,58906,0.2183,0.0783,0.1657,0.2017,0.0016,0.0011,0.0386,0.2408,18500,78357,0.1916,0.8512,0.8563,0.8609,0.8941,0.875,0.6667,0.8508,55900,59300,68700,70400,78600,29136,66580
New York Institute of Technology,NY,0,0,0,0,1,0,0,0,0,0.7572,1263,51737,NA,NA,NA,NA,NA,15987,17656,21118,24903,27884,0.2147,0.1177,0.2229,0.2769,0.003,0.003,0.039,0.4616,17000,30957,0.4448,0.5837,0.4638,0.4371,0.6281,1,0,0.551,45500,52200,57800,53300,68100,3279,55380
Rensselaer Polytechnic Institute,NY,0,0,0,0,0,0,0,0,0,0.6451,1457,77763,NA,NA,NA,NA,NA,21439,19848,27920,31807,42335,0.4266,0.0486,0.107,0.1945,7e-4,2e-4,0.0533,0.4793,21995,43626,0.1843,0.8442,0.6471,0.7882,0.8407,0.5,1,0.8532,66700,67800,73400,79400,86000,5886,74660
Rochester Institute of Technology,NY,0,0,0,0,0,0,0,0,0,0.6717,1370,68666,NA,NA,NA,NA,NA,26896,24575,24319,27907,32695,0.6199,0.0518,0.0915,0.1169,0.0014,4e-4,0.0503,0.5414,20872,33695,0.2845,0.7375,0.6346,0.6442,0.7598,0.4286,1,0.6635,50600,52900,58700,58000,67800,13152,57600
